ctry_code,ctry_name,ctry_name_long,region_code,subregion_name,eff_date,end_date,timestamp
EST,Estonia,Estonia,EU,NULL,1993-03-31 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B2
ETH,Ethiopia,Ethiopia,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B3
FAN,Fanning Island,Fanning Island,WP,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B4
FIN,Finland,Finland,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B5
FJI,Fiji,Fiji,WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038AC
FLK,Falkland Islands,Falkland Islands,AM,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B7
FRA,France,France,EU,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B8
FRD,French Overseas Dep.,French overseas departments,AM,NULL,1993-06-24 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037B9
FSM,Micronesia,Micronesia (Federated States of),WP,PIC,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038AD
GAB,Gabon,Gabon,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037BB
GAZ,Gaza,Gaza,EM,NULL,1984-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037BC
GBR,UK,United Kingdom of Great Britain and Northern Ireland,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037BD
GEO,Georgia,Georgia,EU,NULL,1992-06-26 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037BE
GHA,Ghana,Ghana,AF,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037BF
GIB,Gibraltar,Gibraltar,EU,NULL,1979-03-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C0
GIL,Gilbert Islands,Gilbert Islands,WP,NULL,1979-07-12 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C1
GIN,Guinea,Guinea,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C2
GLP,Guadeloupe,Guadeloupe,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C3
GMB,Gambia,Gambia,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C4
GNB,Guinea-Bissau,Guinea-Bissau,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C5
GNQ,Equatorial Guinea,Equatorial Guinea,AF,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C6
GOR,Georgia,Georgia,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C7
GRC,Greece,Greece,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C8
GRD,Grenada,Grenada,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037C9
GRL,Greenland,Greenland,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037CA
GTM,Guatemala,Guatemala,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037CB
GUF,French Guiana,French Guiana,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037CC
GUM,Guam,Guam,WP,PIC,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038AE
GUY,Guyana,Guyana,AM,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037CE
GWB,West Berlin,West Berlin,EU,NULL,1990-10-02 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037CF
HND,Honduras,Honduras,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D0
HOK,Hong Kong,Hong Kong,WP,OTHERS,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000038C2
HRV,Croatia,Croatia,EU,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D2
HTI,Haiti,Haiti,AM,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D3
HUN,Hungary,Hungary,EU,NULL,1992-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D4
IDN,Indonesia,Indonesia,SE,NULL,2010-01-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D5
IND,India,India,SE,NULL,1976-06-01 00:00:00.000,9999-12-31 00:00:00.000,0x00000000000037D6
